DATAFLOW;LAST UPDATE;freq;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2018;38343;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2019;39373;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2020;37904;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2021;40045;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2018;36030;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2019;37253;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2020;36154;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2021;39456;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2018;15141;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2019;16172;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2020;16022;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2021;18195;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2018;26643;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2019;27544;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2020;25271;
