DATAFLOW;LAST UPDATE;freq;cons_fp;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2012;96;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2013;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2014;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2015;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2016;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2017;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2018;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2019;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2020;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;AT;2021;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2011;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2012;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2013;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2014;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2015;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2016;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2017;119;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2018;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2019;121;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2020;120;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BE;2021;91;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2011;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2012;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2013;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2014;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2015;111;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2016;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2017;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2018;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2019;123;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2020;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;BG;2021;125;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2011;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2012;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2013;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2014;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2015;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2016;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2017;112;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2018;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2019;115;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2020;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CY;2021;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2012;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2013;93;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2014;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2015;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2016;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2017;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2018;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2019;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2020;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;CZ;2021;108;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2011;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2012;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2013;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2014;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2015;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2016;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2017;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2018;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2019;123;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2020;119;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2021;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2012;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2013;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2014;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2015;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2016;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2017;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2018;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2019;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2020;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2021;118;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2012;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2013;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2014;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2015;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2016;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2017;105;
